diet,shared_metabolite_id,shared_metabolite_name,producer_species,consumer_species,producer_flux,consumer_flux,candidate_score,crossfeeding_candidate,involves_focus_species
western,met_L[e],L-methionine,Bacteroides_dorei_DSM_17855_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,0.931659880003344,1.1116598800033444,0.931659880003344,True,False
western,lys_L[e],L-lysinium(1+),Ruminococcus_torques_ATCC_27756_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,0.9076018257237988,1.0545014139938027,0.9076018257237988,True,False
western,co2[e],carbon dioxide,Ruminococcus_torques_ATCC_27756_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.907601825723798,23.77062360223342,0.907601825723798,True,False
western,co2[e],carbon dioxide,Ruminococcus_torques_ATCC_27756_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.907601825723798,4.093269249381084,0.907601825723798,True,False
western,h2o[e],Water,Alistipes_shahii_WAL_8301_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.8825613844105578,109.9352483051461,0.8825613844105578,True,False
western,h2o[e],Water,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.8825613844105578,49.71368596076437,0.8825613844105578,True,False
western,h2o[e],Water,Alistipes_shahii_WAL_8301_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,0.8825613844105578,22.641287431585077,0.8825613844105578,True,False
western,ppa[e],propionate,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.7106833026132897,0.7106833026132897,0.7106833026132897,True,False
western,succ[e],Succinate,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.6280887465362767,9.257766340174353,0.6280887465362767,True,False
western,succ[e],Succinate,Alistipes_shahii_WAL_8301_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.6280887465362767,3.4819644700000003,0.6280887465362767,True,False
